MPR,truck,Distr.,Volume,TTCs
0.0,0.02,1.0,600.0,0.0
0.0,0.02,1.0,800.0,0.0
0.0,0.02,1.0,1000.0,0.4
0.0,0.02,1.0,1200.0,0.6
0.0,0.02,1.0,1500.0,70.4
0.0,0.02,1.0,1800.0,932.6
0.0,0.02,1.0,2000.0,1084.6
0.0,0.02,2.0,600.0,0.0
0.0,0.02,2.0,800.0,0.0
0.0,0.02,2.0,1000.0,0.4
0.0,0.02,2.0,1200.0,0.8
0.0,0.02,2.0,1500.0,58.2
0.0,0.02,2.0,1800.0,836.6
0.0,0.02,2.0,2000.0,943.2
0.0,0.02,3.0,600.0,0.0
0.0,0.02,3.0,800.0,0.0
0.0,0.02,3.0,1000.0,0.0
0.0,0.02,3.0,1200.0,0.4
0.0,0.02,3.0,1500.0,58.0
0.0,0.02,3.0,1800.0,734.6
0.0,0.02,3.0,2000.0,834.8
0.0,0.02,4.0,600.0,0.0
0.0,0.02,4.0,800.0,0.0
0.0,0.02,4.0,1000.0,0.2
0.0,0.02,4.0,1200.0,0.6
0.0,0.02,4.0,1500.0,39.0
0.0,0.02,4.0,1800.0,699.6
0.0,0.02,4.0,2000.0,787.4
0.0,0.02,5.0,600.0,0.0
0.0,0.02,5.0,800.0,0.2
0.0,0.02,5.0,1000.0,0.2
0.0,0.02,5.0,1200.0,1.0
0.0,0.02,5.0,1500.0,32.8
0.0,0.02,5.0,1800.0,656.4
0.0,0.02,5.0,2000.0,671.8
0.0,0.02,6.0,600.0,0.0
0.0,0.02,6.0,800.0,0.0
0.0,0.02,6.0,1000.0,0.0
0.0,0.02,6.0,1200.0,0.2
0.0,0.02,6.0,1500.0,23.8
0.0,0.02,6.0,1800.0,512.8
0.0,0.02,6.0,2000.0,552.2
0.0,0.02,7.0,600.0,0.0
0.0,0.02,7.0,800.0,0.0
0.0,0.02,7.0,1000.0,0.0
0.0,0.02,7.0,1200.0,0.0
0.0,0.02,7.0,1500.0,18.4
0.0,0.02,7.0,1800.0,507.2
0.0,0.02,7.0,2000.0,519.2
0.0,0.02,8.0,600.0,0.0
0.0,0.02,8.0,800.0,0.0
0.0,0.02,8.0,1000.0,0.0
0.0,0.02,8.0,1200.0,0.0
0.0,0.02,8.0,1500.0,20.0
0.0,0.02,8.0,1800.0,289.8
0.0,0.02,8.0,2000.0,300.6
